=== entity_prefab/Base dims 94 8
0 ['缂栧彿\n锛堟寜搴忛€掑锛屼笉瑕佸垎娈碉級', '濉〃璇存槑(涓嶅鍑?', '瀹炰綋绫诲瀷', 'model_prefab', '鍚嶅瓧', '鍦板浘UI鍥炬爣id', '绉诲姩閫熷害', '浜や簰id']
1 ['prefab_id:int', '', 'entity_class:string', 'model_id:int', 'entity_name:string', 'map_icon_id:int', 'move_speed:float', 'interaction_id:int']
2 ['', '', '', '', '', '', '', 'export_type: ONLY_SERVER']
3 ['', '', '', '', '', '', '', '']
4 ['5023', '', 'WorldNonPlayer', '1012', '', '', '6', '']
5 ['8003', '鐗规晥EffectActor涓撶敤', 'EffectActor', '9999', '', '', '', '']
6 ['8004', '', '', '', '闈掗緳', '', '6', '']
7 ['8005', '', '', '', '鐧借檸', '', '6', '']
8 ['8006', '', '', '', '鏈遍泙', '', '6', '']
9 ['8007', '', '', '', '瀛欐偀绌?, '', '6', '']
10 ['8008', '娲炲簻鍏ュ彛', 'ResidenceEntryEntity', '1046', '娲炲簻鍏ュ彛', '4005', '', '']
11 ['8009', '娲炲簻瀹炰緥', 'ResidenceEntity', '0', '', '', '', '']
12 ['8010', '', '', '', '', '', '6', '']
13 ['8011', '', '', '', '', '', '6', '']
14 ['8012', '', '', '', '', '', '6', '']
15 ['8013', '', '', '', '', '', '6', '']
16 ['8014', '鎿傚彴npc', 'WorldNonPlayer', '1012', '', '', '', '10001']
17 ['8015', '濂栧姳npc', 'WorldNonPlayer', '1012', '', '', '', '10002']
18 ['8016', '浼犻€乶pc', 'WorldNonPlayer', '1012', '', '', '', '10003']
19 ['8017', '浼犻€乶pc', 'WorldNonPlayer', '1012', '', '', '', '10004']
20 ['8018', '浼犻€乶pc', 'WorldNonPlayer', '1012', '', '', '', '10005']
21 ['8019', '浼犻€乶pc', 'WorldNonPlayer', '1012', '', '', '', '10006']
22 ['8020', '娲炲簻npc-杩斿洖澶т笘鐣?, 'WorldNonPlayer', '1012', '', '', '', '']
23 ['8024', '浜や簰娴嬭瘯锛堜笉瑕佺敤锛?, 'WorldNonPlayer', '1012', '浜や簰娴嬭瘯', '', '', '10007']
24 ['8025', '浜や簰娴嬭瘯锛堜笉瑕佺敤锛?, 'WorldNonPlayer', '1012', '浜や簰娴嬭瘯', '', '', '10008']
25 ['8026', '浜や簰娴嬭瘯锛堜笉瑕佺敤锛?, 'WorldNonPlayer', '1012', '浜や簰娴嬭瘯', '', '', '10009']
